Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
114004,1279٫356,451٫3612558,323٫7479961,0٫8752802579,BOMBAY
117034,1265٫926,425٫9237875,351٫2151089,0٫917709597,BOMBAY
126503,1326٫959,475٫7724586,339٫3818868,0٫9028085849,BOMBAY
128118,1360٫135,504٫0249642,,0٫8702739457,BOMBAY
129409,1348٫888,484٫364424,341٫1726593,0٫8937633936,BOMBAY
129807,1356٫314,493٫241864,336٫4648369,0٫8867220084,BOMBAY
130070,1362٫228,486٫7062302,343٫114783,0٫8808204695,BOMBAY
131249,1374٫898,521٫1492464,323٫7902564,0٫8724989375,BOMBAY
131488,1368٫233,485٫8925009,345٫6212635,0٫8826242632,BOMBAY
132254,1358٫189,497٫7676684,339٫6363418,0٫900944965,BOMBAY
132399,1335٫884,486٫8595673,346٫5807118,0٫9323029799,BOMBAY
132851,1369٫46,511٫9757505,333٫4049732,0٫8901762202,BOMBAY
132889,1373٫51,499٫646493,339٫9068395,0٫8851874459,BOMBAY
133760,1369٫738,481٫2607823,354٫6256634,0٫8959032569,BOMBAY
134012,1385٫807,517٫7649124,331٫9160237,0٫8768959237,BOMBAY
134251,1391٫532,523٫6290209,327٫6755204,0٫8712464018,BOMBAY
135222,1371٫667,495٫1024098,348٫7846686,0٫9031499004,BOMBAY
135403,1381٫938,523٫2554269,332٫1957763,0٫8909657975,BOMBAY
135898,1385٫644,509٫4433176,341٫4900636,0٫8894460243,BOMBAY
137075,1432٫713,526٫8980615,334٫1175121,0٫8391695476,BOMBAY
137115,1427٫056,519٫1997446,337٫4746463,0٫8460826712,BOMBAY
137358,1364٫645,507٫9858904,345٫2228517,0٫9268819953,BOMBAY
137518,1417٫944,519٫7799999,339٫9302724,0٫8595106317,BOMBAY
137748,1389٫634,499٫3705441,353٫3013142,0٫8963844276,BOMBAY
137890,1410٫302,522٫1875739,338٫3644715,0٫8712010537,BOMBAY
138059,1459٫686,540٫6778226,334٫1664759,0٫814246128,BOMBAY
138114,1368٫731,483٫7173648,364٫5190225,0٫9264273337,BOMBAY
138244,1395٫699,510٫6812515,346٫6453918,0٫8918105808,BOMBAY
138265,1396٫139,512٫8063507,345٫1812989,0٫8913839379,BOMBAY
138659,1415٫439,509٫8275207,347٫5854183,0٫8697123005,BOMBAY
138777,1403٫006,502٫613464,353٫8114117,0٫8859481433,BOMBAY
138976,1404٫377,509٫4100768,351٫6482864,0٫8854871337,BOMBAY
139523,1410٫901,501٫721529,354٫9685707,0٫8807701493,BOMBAY
139639,1379٫183,473٫7805979,376٫5502411,0٫9225136552,BOMBAY
139686,1402٫293,508٫6819485,350٫946932,0٫8926582292,BOMBAY
139841,1430٫241,524٫8024563,341٫3400849,0٫8590648267,BOMBAY
140313,1432٫029,517٫4259023,347٫2543044,0٫8598132796,BOMBAY
140867,1414٫336,500٫3077756,360٫1775879,0٫884940228,BOMBAY
140964,1425٫6,538٫2389592,334٫9105788,0٫8716110058,BOMBAY
141385,1429٫427,525٫900924,344٫3551184,0٫8695393454,BOMBAY
141519,1442٫904,523٫1006681,347٫0957926,0٫8541806724,BOMBAY
141850,1432٫847,524٫9234707,346٫9109201,0٫8682395536,BOMBAY
141953,1402٫05,524٫2311633,346٫3974998,0٫9074598849,BOMBAY
142154,1378٫113,501٫7293744,361٫6697526,0٫9405876878,BOMBAY
142238,1425٫362,516٫4426267,351٫4148645,0٫8797821542,BOMBAY
142399,1430٫275,524٫5884123,347٫2617724,0٫8747374258,BOMBAY
142592,1408٫745,519٫7756355,351٫2923849,0٫9029012395,BOMBAY
143603,1405٫207,516٫0199144,356٫2938031,0٫9138875643,BOMBAY
144058,1463٫258,536٫8875196,343٫9628391,0٫8454840726,BOMBAY
144079,1462٫012,534٫5994627,346٫3307358,0٫8470492749,BOMBAY
45504,793٫417,295٫4698306,196٫3118225,0٫9083567245,CALI
45666,789٫77,274٫8633573,211٫8851392,0٫9200291145,CALI
48373,825٫148,313٫570417,197٫8987002,0٫8927897255,CALI
49245,822٫642,301٫392791,208٫3464437,0٫9144295428,CALI
49882,891٫505,357٫1890036,179٫8346914,0٫7886896753,CALI
50954,865٫763,330٫155474,198٫4615253,0٫8542600638,CALI
51643,855٫523,307٫9956112,213٫6247263,0٫8866616969,CALI
52448,882٫474,336٫9594211,199٫0051127,0٫8463206902,CALI
53609,893٫456,354٫7254337,193٫354325,0٫8439199057,CALI
54076,893٫989,342٫7424247,203٫259513,0٫8502567203,CALI
54137,905٫416,356٫3926718,195٫4373656,0٫8298655191,CALI
54343,867٫59,303٫847956,228٫0162327,0٫9072446142,CALI
54680,899٫793,353٫5776383,198٫3140946,0٫8486979428,CALI
55501,898٫191,345٫523159,207٫0296994,0٫8645164752,CALI
55544,924٫19,357٫6967019,198٫2257211,0٫8171927147,CALI
55549,914٫595,348٫4861956,205٫1891003,0٫8345040784,CALI
55608,918٫716,348٫4501558,205٫4062325,0٫8279127667,CALI
55722,897٫584,318٫9323359,225٫0086389,0٫8691332306,CALI
55938,909٫933,347٫2764794,205٫5303842,0٫8489809931,CALI
55972,897٫386,342٫4919163,208٫7955762,0٫8734179433,CALI
56270,920٫481,374٫09942,194٫0923458,0٫8345591483,CALI
56376,921٫455,350٫6922928,205٫3987297,0٫8343645824,CALI
56627,922٫876,356٫1840294,203٫0456968,0٫8355004999,CALI
56675,898٫464,344٫9441908,210٫2250507,0٫8822669936,CALI
56679,911٫133,355٫9458366,204٫8914494,0٫8579628641,CALI
56834,910٫081,341٫5703246,212٫3913014,0٫8622992171,CALI
57017,903٫559,349٫8119042,210٫8011319,0٫8776092552,CALI
57017,903٫261,355٫3339372,205٫4576502,0٫8781884249,CALI
57391,921٫48,362٫5686078,203٫7016423,0٫8493404909,CALI
57549,929٫955,362٫9373998,204٫5544341,0٫8362262145,CALI
57617,901٫703,344٫4109267,213٫7818121,0٫8904990829,CALI
57786,916٫524,331٫8750114,224٫9344364,0٫8644598229,CALI
57853,930٫73,358٫6434909,207٫2421815,0٫839244151,CALI
57862,951٫333,372٫4370305,201٫9925213,0٫803411754,CALI
57907,915٫319,360٫6609553,206٫6959192,0٫8685523008,CALI
58094,922٫37,350٫1062379,212٫8556695,0٫8580859799,CALI
58102,907٫665,334٫8035816,223٫8662565,0٫8862367756,CALI
58252,950٫381,363٫1910348,208٫034821,0٫8104481108,CALI
58634,930٫427,351٫8374671,214٫941906,0٫8511278029,CALI
58740,942٫69,370٫6574503,204٫0034152,0٫8306269272,CALI
58822,942٫558,368٫175038,206٫6187731,0٫8320194581,CALI
58877,964٫919,376٫8503384,202٫2688788,0٫7946462181,CALI
58961,936٫527,363٫145456,208٫2099472,0٫8447614746,CALI
59039,930٫334,349٫7941673,217٫0338863,0٫8571781082,CALI
59041,931٫502,359٫7792308,211٫3235495,0٫8550588086,CALI
59183,934٫857,353٫5773491,214٫6713018,0٫850974353,CALI
59208,958٫477,371٫6911507,203٫7493708,0٫8098915421,CALI
59338,940٫712,352٫1829755,215٫7836786,0٫8426154154,CALI
59344,944٫279,355٫4247825,214٫7311272,0٫8363460635,CALI
59387,930٫813,361٫3864657,210٫6642569,0٫8613434801,CALI
31519,676٫641,255٫0735621,157٫80274,0٫865098731,SIRA
31751,671٫914,244٫102719,168٫5224911,0٫8837712954,SIRA
32857,668٫106,233٫8049677,179٫500919,0٫9250112779,SIRA
33180,670٫488,240٫9695005,175٫6450402,0٫9274793024,SIRA
33206,680٫423,260٫0898266,163٫1027196,0٫9012981025,SIRA
33318,688٫874,257٫4648986,165٫036857,0٫8822856196,SIRA
33462,689٫937,265٫4699791,161٫0284951,0٫8833704899,SIRA
33493,683٫487,252٫7723761,169٫4350399,0٫9009556148,SIRA
33540,697٫714,257٫4891433,166٫5592919,0٫865800929,SIRA
33587,672٫575,240٫3770452,178٫6807736,0٫9330386574,SIRA
33605,687٫194,259٫0547378,165٫8371507,0٫8942419635,SIRA
33634,670٫53,242٫6749657,176٫8391369,0٫9400521723,SIRA
33680,683٫09,256٫203255,167٫9334938,0٫9070392732,SIRA
33739,686٫903,255٫8043441,168٫5926382,0٫8985686118,SIRA
33885,680٫022,245٫4253999,176٫3160798,0٫9208129695,SIRA
34031,691٫801,265٫5715834,163٫6202104,0٫8935568822,SIRA
34099,670٫159,237٫7722053,183٫2249309,0٫9541041792,SIRA
34112,693٫8,258٫1399044,168٫6966258,0٫8905297981,SIRA
34146,789٫379,247٫6608668,176٫137973,0٫6886183047,SIRA
34189,687٫252,249٫0621247,174٫9936597,0٫9096288739,SIRA
34238,698٫847,255٫8292238,170٫8670985,0٫8809556419,SIRA
34242,682٫082,247٫6193769,177٫0846476,0٫9249021936,SIRA
34459,698٫401,254٫0993138,173٫0599093,0٫8877748324,SIRA
34593,697٫522,259٫7300932,170٫1627664,0٫8934747241,SIRA
34645,702٫351,259٫1623421,171٫4586651,0٫8825554872,SIRA
34663,691٫502,252٫5251606,175٫3797061,0٫9109386522,SIRA
34668,704٫917,268٫2745335,166٫9007759,0٫876723572,SIRA
34717,700٫168,262٫5162029,168٫8110526,0٫8899129714,SIRA
34783,724٫442,252٫1944891,175٫8885352,0٫8328555018,SIRA
34825,704٫926,264٫593648,168٫2855608,0٫8806714775,SIRA
34862,702٫718,264٫0184917,168٫7377813,0٫8871560252,SIRA
34892,710٫337,273٫7491085,163٫0004469,0٫8689741438,SIRA
34894,707٫258,264٫3841713,168٫9600431,0٫8766068976,SIRA
34942,701٫872,250٫9163364,178٫0581443,0٫8913367004,SIRA
34990,700٫748,257٫018073,174٫0215042,0٫8954267671,SIRA
35077,707٫652,261٫0852171,172٫9925206,0٫8802232382,SIRA
35129,703٫253,268٫4473909,167٫1702673,0٫8925909191,SIRA
35135,692٫108,253٫0996749,176٫9096429,0٫9217265204,SIRA
35152,711٫89,265٫1925197,169٫6885131,0٫8716339123,SIRA
35215,711٫318,269٫1178308,167٫0956931,0٫8746009793,SIRA
35249,706٫381,272٫6598718,165٫2835727,0٫8877254001,SIRA
35291,723٫178,276٫2396963,163٫1613077,0٫8479757192,SIRA
35380,697٫382,255٫5805925,176٫7753124,0٫9141684426,SIRA
35444,716٫279,268٫0805534,169٫8239972,0٫868136777,SIRA
35468,711٫867,273٫1429586,165٫9725366,0٫8795263237,SIRA
35476,711٫317,266٫8508275,169٫9283492,0٫8810856619,SIRA
35506,713٫086,262٫1062149,173٫2478277,0٫8774609393,SIRA
35561,708٫141,259٫7683482,174٫8105517,0٫8911367401,SIRA
35570,710٫53,263٫2603831,173٫378732,0٫8853783343,SIRA
35633,712٫676,262٫5884816,173٫4937258,0٫8816129975,SIRA